"Country","HDI","HDICategory","Age","Gender","HaveKids","Ed.Level","WorkStatus","Income","Occupation","YearsAtJob","MonthsAtJob","Community","MaritalStat","Sons","Daughters","BdWstTime","BdDelayAct","BdMustAct","BdDelayMake","BdPutOff","GdPayBills","GdPunctual","GdPrepared","BdRunLate","BdCmpltTm","GdWantGrow","BdFamView","GdTmToSpare","BdDeadline","BdTmMngmt","GdDocApt","GdMorePunct","GdMaint","BdXpctLate","BdCostMoney","BdLateStart","BdMissTckts","GdPartyPln","GdEasyWake","BdSlowMail","GdRtnCalls","BdWrkr","GdDecisive","BdWrkDelay","BdAirport","GdSocial","BdDeadline.1","GdSMLBill","GdRSVP","GdTask","BdBdayGFT","BdEsntlItem","GdCmplteDay","BdDoTmrow","GdEvngTasks","GdIdealLIfe","GdExclLife","GdSatisLife","GdImprtThs","GdChangeNil","SelfView","ExtView","DPMean","AIPMean","GPMean","SWLSMean"
"Australia","0.939","Very high human development",28,"Male","No Kids","deg","full-time",67500,"Market Analyst",1,6,"Large-City","Single",0,0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes",4,3.2,3.8,2.2
"Australia","0.939","Very high human development",37.5,"Male","No Kids","deg","unemployed",10000,"",5,0,"Village","Married",0,0,4,4,5,5,5,1,1,2,2,3,3,5,3,2,4,4,1,4,1,3,4,2,5,4,4,4,4,4,4,2,3,3,2,5,4,5,2,1,5,4,4,4,4,4,2,"yes","yes",4.6,2.6,3.5,3.6
"Australia","0.939","Very high human development",23,"Female","No Kids","ltuni","student",10000,"",0,0,"Village","Single",0,0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.06666666666667,4.5,1
"Australia","0.939","Very high human development",22,"Female","No Kids","ltuni","part-time",10000,"",1,0,"Small Town","Married",0,0,5,5,5,4,4,4,2,3,3,4,1,5,5,5,5,5,3,5,5,5,5,5,3,5,5,3,5,4,5,2,5,5,2,4,5,5,5,5,5,4,4,4,4,3,1,"yes","yes",4.6,4,4.35,3.2
"Australia","0.939","Very high human development",28,"Female","No Kids","deg","full-time",67500,"",3,0,"Village","Married",0,0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",3.6,4.06666666666667,4,3
"Australia","0.939","Very high human development",28,"Female","No Kids","ma","full-time",55000,"",1,0,"Village","Single",0,0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,"yes","yes",2.8,3.4,3,2.8
"Australia","0.939","Very high human development",32.5,"Male","No Kids","ma","full-time",35000,"",1,0,"Village","Single",0,0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",5,3.6,3.95,1
"Australia","0.939","Very high human development",28,"Female","No Kids","deg","full-time",87500,"",2,0,"Village","Married",0,0,2,2,2,2,2,1,1,4,2,2,3,2,3,2,3,4,2,3,1,2,3,1,3,2,5,2,2,2,3,2,3,3,5,4,3,3,3,3,4,4,5,5,5,5,4,"yes","yes",2,2.33333333333333,2.95,4.8
"Australia","0.939","Very high human development",32.5,"Female","No Kids","ltuni","full-time",45000,"",1,9,"Village","Married",0,0,4,4,4,2,2,3,2,3,3,2,4,2,5,1,2,3,2,3,2,2,3,2,1,3,3,5,4,2,3,1,2,4,3,3,2,3,2,2,3,3,3,3,4,4,3,"yes","no",3.2,2.6,2.55,3.4
"Australia","0.939","Very high human development",45,"Female","No Kids","lthigh","retired",NA,"",0,6,"Village","Married",0,0,3,3,4,3,2,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,3,3,2,3,3,3,3,4,3,2,5,3,3,3,3,4,3,4,3,4,4,4,2,4,3,"yes","no",3,1.66666666666667,3.1,3.4
"Australia","0.939","Very high human development",45,"Female","Yes Kids","deg","part-time",87500,"",0,6,"Medium-Sized","Single",0,2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,1,4,4,3,3,2,4,3,2,4,2,3,3,4,4,3,3,2,3,3,1,"yes","no",2.8,2.33333333333333,2.95,2.4
"Australia","0.939","Very high human development",55,"Female","No Kids","deg","full-time",15000,"",6,0,"Village","Single",0,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",1.8,2.06666666666667,2.1,5
"Australia","0.939","Very high human development",55,"Female","Yes Kids","dip","full-time",87500,"",14,0,"Village","Single",0,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",2.4,2.26666666666667,3,3.4
"Australia","0.939","Very high human development",23,"Male","No Kids","dip","full-time",67500,"",5,5,"Medium-Sized","Single",0,0,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,2,2,2,2,1,"yes","yes",3.6,3.06666666666667,3.6,1.8
"Australia","0.939","Very high human development",45,"Female","No Kids","deg","full-time",55000,"",14,0,"Village","Married",0,0,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,4,2,3,1,1,1,1,1,2,2,2,1,3,2,1,2,1,1,1,2,2,2,2,1,2,3,3,4,3,3,"no","no",1.6,1.53333333333333,1.6,3.2
"Australia","0.939","Very high human development",24,"Female","No Kids","deg","full-time",45000,"",3,0,"Small Town","Single",0,0,3,4,4,4,4,1,2,4,3,3,2,4,2,1,2,3,2,5,1,2,3,4,3,2,5,2,3,4,4,4,4,4,1,4,2,5,4,3,4,4,2,2,2,2,2,"yes","yes",3.8,2.46666666666667,3.3,2
"Australia","0.939","Very high human development",24,"Male","No Kids","ma","student",10000,NA,0,3,"Large-City","Single",0,0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,"yes","no",2.8,2.33333333333333,2.7,3.6
"Australia","0.939","Very high human development",32.5,"Female","Yes Kids","ma","full-time",67500," veterinarian",7,0,"Small City","Married",1,0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.6,3,3.6,4.2
"Australia","0.939","Very high human development",28,"Female","No Kids","ma","full-time",150000,"Entrepreneur",1,0,"Large-City","Married",0,0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,"yes","no",1.6,2.26666666666667,2.35,4.6
"Australia","0.939","Very high human development",45,"Male","Yes Kids","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Married",1,3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3,3.26666666666667,3.75,3.6
"Australia","0.939","Very high human development",23,"Male","No Kids","deg","student",10000,NA,0,0,"Small Town","Single",0,0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes",3.8,3.66666666666667,3,1.8
"Australia","0.939","Very high human development",45,"Male","No Kids","ma","full-time",150000,"",4,1,"Village","Widowed",0,0,4,4,4,3,3,3,4,5,4,3,3,4,4,3,4,3,4,4,4,4,4,3,4,5,2,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,2,"yes","yes",3.6,3.73333333333333,3.65,3.2
"Australia","0.939","Very high human development",45,"Male","Yes Kids","high","full-time",45000,"",0,0,"Village","Divorced",0,1,2,3,2,2,2,1,3,5,4,4,4,3,4,1,4,3,4,3,4,4,4,2,3,1,4,3,4,2,3,3,3,4,2,4,4,5,3,4,3,3,2,4,3,1,2,"yes","yes",2.2,3.4,3.05,2.4
"Australia","0.939","Very high human development",45,"Male","Yes Kids","ltuni","full-time",87500,"",0,0,"Village","Divorced",1,1,3,3,4,5,4,4,2,4,3,5,3,4,4,4,5,4,4,4,4,5,4,4,2,2,3,2,4,4,4,4,4,4,3,4,4,5,3,3,3,3,2,2,2,2,2,"yes","yes",3.8,3.93333333333333,3.45,2
"Australia","0.939","Very high human development",28,"Female","No Kids","ltuni","full-time",55000,"",3,4,"Medium-Sized","Married",0,0,3,4,4,3,3,1,1,2,1,1,1,1,4,1,1,2,2,3,1,2,2,3,3,4,2,2,1,4,3,2,4,2,1,2,2,4,3,2,3,1,1,1,1,2,1,"yes","no",3.4,1.6,2.45,1.2
"Australia","0.939","Very high human development",45,"Male","No Kids","ltuni","full-time",67500,"",0,0,"Village","Married",0,0,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,2,3,3,2,2,3,2,2,2,2,1,4,2,1,3,3,3,3,2,3,2,4,5,5,5,5,"yes","no",1.6,1.53333333333333,2.35,4.8
"Australia","0.939","Very high human development",32.5,"Female","Yes Kids","dip","part-time",45000,"",10,0,"Large Town","Married",0,1,4,4,4,3,3,4,3,5,4,3,2,5,3,4,4,4,4,4,3,3,3,4,5,4,5,3,2,4,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,"yes","yes",3.6,3.66666666666667,3.7,2.8
"Australia","0.939","Very high human development",37.5,"Female","Yes Kids","deg","full-time",45000,"",0,0,"Large Town","Married",1,0,3,5,4,5,5,2,2,1,5,5,5,2,3,2,5,4,1,4,1,3,5,2,2,4,5,2,1,3,1,2,2,2,3,5,2,4,4,4,4,4,3,4,2,3,3,"yes","no",4.4,3,3.05,3
"Australia","0.939","Very high human development",20,"Male","No Kids","deg","part-time",15000,"",4,7,"Rural/Country","Single",0,0,4,4,4,4,4,3,4,4,5,5,2,5,3,4,5,5,4,4,5,5,4,5,4,5,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,4,3,5,4,4,3,"yes","yes",4,4.2,4.05,3.8
"Australia","0.939","Very high human development",32.5,"Female","No Kids","","full-time",67500,"",6,0,"Village","Married",0,0,2,3,1,1,1,1,1,2,2,1,1,1,2,1,1,1,4,1,4,1,1,1,1,2,1,1,1,1,2,1,3,3,1,1,1,3,3,1,1,1,5,5,5,5,4,"no","no",1.6,1.6,1.4,4.8
"Australia","0.939","Very high human development",45,"Male","Yes Kids","deg","full-time",150000,"Engineer",10,0,"Large-City","Divorced",1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",4,3.6,3.6,2.8
"Australia","0.939","Very high human development",55,"Female","Yes Kids","deg","full-time",87500,"",5,0,"Village","Married",1,1,5,5,3,2,2,1,5,5,5,5,5,5,3,5,5,2,3,3,4,3,3,2,3,3,4,2,3,3,4,4,3,4,3,4,4,5,5,3,3,3,4,3,3,5,4,"yes","yes",3.4,3.93333333333333,3.45,3.8
"Australia","0.939","Very high human development",37.5,"Male","Yes Kids","deg","full-time",55000,"IT",7,6,"Large-City","Married",1,1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes",2,2.13333333333333,2.05,2.4
"Australia","0.939","Very high human development",37.5,"Male","Yes Kids","deg","full-time",150000,"Engineer",9,0,"Large-City","Married",1,1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes",5,3.33333333333333,3.55,2
"Australia","0.939","Very high human development",45,"Female","No Kids","phd","full-time",150000,"Manager",1,0,"Large-City","Married",0,0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,"yes","no",3,2.53333333333333,2.6,3.2
"Australia","0.939","Very high human development",32.5,"Female","No Kids","ma","full-time",45000,"Office Manager / Accountant",6,0,"Large-City","Single",0,0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no",1.8,1.66666666666667,2.1,2.8
"Australia","0.939","Very high human development",22,"Female","No Kids","deg","full-time",25000,"Administration Assistant",0,5,"Large-City","Single",0,0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,"yes","yes",3.6,3.33333333333333,2.95,2.2
"Australia","0.939","Very high human development",45,"Female","Yes Kids","lthigh","full-time",55000,"",0,0,"Medium-Sized","Married",1,1,5,4,3,2,3,4,1,4,4,4,3,3,2,2,5,4,2,4,4,5,5,1,2,1,5,3,5,3,4,5,3,5,4,3,5,5,4,5,5,4,4,3,4,3,2,"yes","yes",3.4,3.4,3.7,3.2
"Australia","0.939","Very high human development",37.5,"Male","No Kids","deg","student",10000,NA,2,0,"Large-City","Single",0,0,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,5,5,5,5,1,5,1,1,1,1,"yes","yes",5,4.66666666666667,3.95,1.8
"Australia","0.939","Very high human development",45,"Male","Yes Kids","deg","full-time",87500,"Manager",13,0,"Small City","Married",1,2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,"yes","yes",3.2,3.8,3.25,3.8
